iter	MultiClass
137	0.585227565
138	0.5823882257
139	0.5798668744
140	0.5781191411
141	0.5763945813
142	0.573797012
143	0.5720713227
144	0.5697596355
145	0.567722411
146	0.5654897421
147	0.5635697169
148	0.5630705696
149	0.5605853995
150	0.5582388541
151	0.5570222923
152	0.5547784845
153	0.5526747053
154	0.5511210649
155	0.5489292105
156	0.5475517628
157	0.5469318342
158	0.5451560786
159	0.5431378696
160	0.5412641657
161	0.5397666261
162	0.5382037372
163	0.5361927335
164	0.5342916242
165	0.5325948367
166	0.5310546057
167	0.5300715545
168	0.5284020125
169	0.526403492
170	0.5244735722
171	0.5221516399
172	0.5193369694
173	0.5166884071
174	0.5152312067
175	0.5136446451
176	0.5109930231
177	0.5101929061
178	0.5090329634
179	0.5076100964
180	0.5059477951
181	0.5052235381
182	0.503711153
183	0.5018280707
184	0.5003168661
185	0.4990849873
186	0.4981893304
187	0.4972826456
188	0.4954720126
189	0.4935936673
190	0.4919700953
191	0.4900721717
192	0.4890972437
193	0.4870873208
194	0.48565407
195	0.4840305589
196	0.4834390704
197	0.4820235835
198	0.4799767055
199	0.4783438477
200	0.4770297774
201	0.475565982
202	0.4747419361
203	0.4731905702
204	0.4714413897
205	0.4696231729
206	0.468079732
207	0.4663169064
208	0.4647530605
209	0.4639501748
210	0.4630907196
211	0.4618887826
212	0.4605302617
213	0.4583972567
214	0.4564142484
215	0.4556021688
216	0.4540331607
217	0.453190053
218	0.4524154443
219	0.4515334078
220	0.4503382691
221	0.4491188659
222	0.447206859
223	0.4462869423
224	0.4451627841
225	0.4437207806
226	0.4423229714
227	0.4412951477
228	0.4408144287
229	0.4390525892
230	0.4380221016
231	0.436289074
232	0.434559105
233	0.4321296948
234	0.431243463
235	0.4293026077
236	0.4279503948
237	0.4272974957
238	0.4261320857
239	0.4250705982
240	0.4232292294
241	0.4220264699
242	0.4211461335
243	0.4197401949
244	0.4191192972
245	0.4188111381
246	0.4166709654
247	0.4154176093
248	0.4143899886
249	0.4130856875
250	0.4125408286
251	0.4115009819
252	0.4100548981
253	0.4086994053
254	0.407174044
255	0.4064353449
256	0.4058412564
257	0.4051721991
258	0.4042490929
259	0.4030366327
260	0.4018688183
261	0.400222996
262	0.3991288342
263	0.3979927185
264	0.3977232854
265	0.3970106864
266	0.3956514159
267	0.3952673622
268	0.3945214519
269	0.3939293676
270	0.3926052002
271	0.3912498806
272	0.3903565677
273	0.3883687907
274	0.3874419364
275	0.3859259545
276	0.3842639794
277	0.3835080649
278	0.3825777579
279	0.3820337125
280	0.3810652827
281	0.3802340629
282	0.378716866
283	0.3775423158
284	0.3758100808
285	0.3756710701
286	0.3744645059
287	0.3731594857
288	0.3719843066
289	0.3714297901
290	0.3701492635
291	0.3690483553
292	0.368371423
293	0.3677576238
294	0.3668469729
295	0.3655975004
296	0.3642739034
297	0.3631283637
298	0.3623761507
299	0.3616466641
300	0.3607588848
301	0.3594670404
302	0.3583714986
303	0.3569097857
304	0.3559566428
305	0.3545241491
306	0.3538731156
307	0.3535649828
308	0.3528758175
309	0.351653836
310	0.3501882284
311	0.3492248522
312	0.3482548604
313	0.3474924971
314	0.3471724471
315	0.3468574467
316	0.3462949927
317	0.3454591696
318	0.3449723597
319	0.3443509473
320	0.3434939424
321	0.3419061134
322	0.3404419731
323	0.3398576103
324	0.3392648166
325	0.3382661716
326	0.3372220209
327	0.3360150895
328	0.3353848658
329	0.3344816323
330	0.3332766076
331	0.3322023483
332	0.3316980999
333	0.3309921203
334	0.3295425786
335	0.3282728392
336	0.3269986423
337	0.3262065436
338	0.3253013898
339	0.324557798
340	0.3238978922
341	0.3228012416
342	0.3225390727
343	0.3219034914
344	0.3205309883
345	0.3196898973
346	0.3189851273
347	0.3184982508
348	0.3176896975
349	0.31644791
350	0.3155988043
351	0.3151968078
352	0.3144017397
353	0.3141413091
354	0.3138556283
355	0.3132108967
356	0.3124169615
357	0.3119539152
358	0.3112211482
359	0.3105955844
360	0.3097180056
361	0.3096822137
362	0.309372948
363	0.3083847542
364	0.3079175227
365	0.3070196174
366	0.3061039121
367	0.3050350309
368	0.3041001312
369	0.3035501948
370	0.3028470603
371	0.3022483885
372	0.301151734
373	0.3004335752
374	0.299458695
375	0.2984197133
376	0.2977290129
377	0.2970392996
378	0.2963678271
379	0.2956910097
380	0.2953719919
381	0.2949769047
382	0.2941027079
383	0.2935719863
384	0.2925400265
385	0.2912646881
386	0.2906525341
387	0.2904040991
388	0.2902308917
389	0.2893434368
390	0.2890823311
391	0.2880093618
392	0.2875342437
393	0.2867982006
394	0.2860151443
395	0.2853870131
396	0.2843403589
397	0.2834444804
398	0.2824447478
399	0.2816994294
400	0.2808467993
401	0.2804642446
402	0.2798883797
403	0.2791294803
404	0.2786360184
405	0.2781395345
406	0.2768381195
407	0.2757645282
408	0.275281459
409	0.2747170833
410	0.2741203
411	0.273160415
412	0.2723588794
413	0.2716727555
414	0.270983971
415	0.2701465972
416	0.2692124896
417	0.2683963474
418	0.2672750492
419	0.2671666081
420	0.2663834592
421	0.2650805666
422	0.2643738945
423	0.2637839533
424	0.2633679339
425	0.2626468917
426	0.2619750081
427	0.2615700711
428	0.2606487947
429	0.2597660869
430	0.2592706728
431	0.258740374
432	0.2583284006
433	0.2577277294
434	0.2573429475
435	0.2567036944
436	0.2558236935
437	0.2552933825
438	0.2545877079
439	0.2543247353
440	0.2535828741
441	0.2532153379
442	0.252619381
443	0.2521876967
444	0.2517741903
445	0.2510050291
446	0.2505169861
447	0.2500922791
448	0.2498095133
449	0.24953734
450	0.2488105072
451	0.2483595603
452	0.247740382
453	0.2471592071
454	0.2466738047
455	0.2460738558
456	0.2450342376
457	0.2446095383
458	0.2438542878
459	0.2430558825
460	0.242392989
461	0.2417171697
462	0.2412222939
463	0.240556155
464	0.2401611755
465	0.2396480093
466	0.2392132064
467	0.2386353524
468	0.2382540504
469	0.2373672472
470	0.2368299269
471	0.2362044504
472	0.2355615955
473	0.2350296257
474	0.234764786
475	0.234338258
476	0.2336196829
477	0.2334268314
478	0.2328710901
479	0.2323092641
480	0.2316652525
481	0.2311593698
482	0.2309091575
483	0.2303875101
484	0.2298754483
485	0.2293933687
486	0.2286801805
487	0.2282046157
488	0.2276599862
489	0.227303726
490	0.2269600683
491	0.2265502448
492	0.2261310797
493	0.2257472612
494	0.2252402767
495	0.224810442
496	0.2242001681
497	0.223708506
498	0.2233786812
499	0.2228723753
500	0.2221862787
501	0.2219106211
502	0.2216371072
503	0.2211831273
504	0.2207798635
505	0.2200556836
506	0.2193723664
507	0.2190544397
508	0.2188081829
509	0.2180632593
510	0.2177946946
511	0.2173514838
512	0.21696958
513	0.2167171731
514	0.2161924756
515	0.2158970509
516	0.2154174288
517	0.2148176232
518	0.2143792361
519	0.2139644941
520	0.2136027522
521	0.2128446871
522	0.2126201744
523	0.2120976838
524	0.2117224325
525	0.2114071715
526	0.2109901877
527	0.2106168913
528	0.2098739499
529	0.2093464766
530	0.208855921
531	0.2083423228
532	0.2080691712
533	0.2077708964
534	0.2074367319
535	0.2070993691
536	0.2069282888
537	0.2065864502
538	0.2061174784
539	0.2057048009
540	0.2054318154
541	0.2052612525
542	0.2047216776
543	0.2042115167
544	0.203544507
545	0.2032798354
546	0.2029139502
547	0.2026460256
548	0.2023816153
549	0.2020146719
550	0.2017034507
551	0.2011396637
552	0.2008832603
553	0.2005746072
554	0.1999961951
555	0.1995032964
556	0.1993105389
557	0.1989251895
558	0.1986345878
559	0.1980785513
560	0.1977695286
561	0.197446973
562	0.1970348764
563	0.196521893
564	0.1961507502
565	0.195715492
566	0.1951685912
567	0.1949355954
568	0.1947300532
569	0.194389583
570	0.1938354495
571	0.1934605364
572	0.1930710215
573	0.1926006692
574	0.1922079382
575	0.1916623183
576	0.1912113794
577	0.1910744888
578	0.1906285842
579	0.1902234038
580	0.1898762585
581	0.1895187291
582	0.1891848956
583	0.1887458918
584	0.1884057932
585	0.1881548785
586	0.187941844
587	0.1876426612
588	0.1867928384
589	0.1863427008
590	0.185668611
591	0.1853395458
592	0.1849200271
593	0.1846949725
594	0.1842711038
595	0.1840414044
596	0.1836159878
597	0.1833923762
598	0.1832671936
599	0.1830126038
600	0.1825518545
601	0.1819739818
602	0.1816262305
603	0.1814051745
604	0.1810251426
605	0.1808565192
606	0.1805700298
607	0.1801780498
608	0.1797598716
609	0.1794392855
610	0.1792967362
611	0.1791144284
612	0.1788223462
613	0.178528877
614	0.1781687284
615	0.1780040039
616	0.1777427003
617	0.1773346475
618	0.1770725645
619	0.1765754045
620	0.176382423
621	0.1761009938
622	0.175866154
623	0.1753844779
624	0.1750548494
625	0.1747107809
626	0.1742053022
627	0.1734675492
628	0.1729632577
629	0.1725440619
630	0.1724185891
631	0.1721030276
632	0.1718151512
633	0.1716753853
634	0.1711959274
635	0.17107363
636	0.1708860528
637	0.1704557299
638	0.1703508532
639	0.1699909669
640	0.1696807256
641	0.1693893919
642	0.1689184328
643	0.168509187
644	0.1681559975
645	0.1678096352
646	0.1677291899
647	0.1674541637
648	0.1671926629
649	0.1668835364
650	0.1666215191
651	0.1662014206
652	0.1660064924
653	0.1656915756
654	0.1656046466
655	0.1652483643
656	0.1650664145
657	0.1647809682
658	0.1644496198
659	0.164091577
660	0.1639031436
661	0.1637796406
662	0.1635803006
663	0.1633628886
664	0.1630249462
665	0.1626363599
666	0.1621461584
667	0.1617647428
668	0.161356124
669	0.1609188249
670	0.1608121184
671	0.1606045552
672	0.1605004969
673	0.1604700232
674	0.1602069174
675	0.1598655282
676	0.1597981699
677	0.1595140853
678	0.1593592025
679	0.1591615595
680	0.1589581195
681	0.1585897616
682	0.1582402407
683	0.1580501802
684	0.1578541108
685	0.1574913588
686	0.157256685
687	0.1570572499
688	0.1566621436
689	0.1564381568
690	0.1561810024
691	0.1560573506
692	0.155975122
693	0.1557105652
694	0.1556518015
695	0.155431293
696	0.1550583708
697	0.1548548114
698	0.1545381099
699	0.1540291121
700	0.1538133219
701	0.1533730785
702	0.1530563387
703	0.1527312848
704	0.1523281492
705	0.1521240482
706	0.1519649082
707	0.1516393458
708	0.151545744
709	0.151205819
710	0.1509586388
711	0.1506554999
712	0.1504511683
713	0.1501612132
714	0.1497883229
715	0.1495315754
716	0.1492439009
717	0.1489829743
718	0.1485165206
719	0.1483021589
720	0.1481843521
721	0.1479627885
722	0.1477913551
723	0.1475723729
724	0.14732431
725	0.1470421384
726	0.1468580469
727	0.1466292379
728	0.1464578521
729	0.1461614748
730	0.145886856
731	0.1456906436
732	0.1454342717
733	0.1451733063
734	0.1449464557
735	0.1446719041
736	0.144537294
737	0.1442523631
738	0.144050376
739	0.1437055935
740	0.1436043248
741	0.1434699657
742	0.1432356764
743	0.1428782202
744	0.1427042537
745	0.1426060028
746	0.1423078128
747	0.142029962
748	0.1416415625
749	0.1414069434
750	0.1411094174
751	0.1409231007
752	0.1406222066
753	0.1404359248
754	0.1400703454
755	0.1398477998
756	0.1396483728
757	0.1393505869
758	0.1392177244
759	0.1390129796
760	0.1387398726
761	0.1386187555
762	0.1384644292
763	0.1382395408
764	0.1379783271
765	0.1377807377
766	0.1374702747
767	0.1372996762
768	0.137090316
769	0.1369311917
770	0.1368046813
771	0.1364043789
772	0.1362681104
773	0.1360117329
774	0.135828238
775	0.1357901968
776	0.1354587647
777	0.1352804914
778	0.1351274789
779	0.1348532937
780	0.1345836659
781	0.1343434141
782	0.1341741767
783	0.133884616
784	0.1336062922
785	0.1334314364
786	0.1331771389
787	0.1328902128
788	0.1327263243
789	0.1324456831
790	0.1321674669
791	0.1320559389
792	0.1319255968
793	0.131765869
794	0.1316465407
795	0.1315208616
796	0.1313085742
797	0.1310794928
798	0.1308052004
799	0.1305570307
800	0.1304267855
801	0.1300576634
802	0.1296759266
803	0.1294602284
804	0.1291294934
805	0.128904046
806	0.1287288655
807	0.1285532324
808	0.1284832293
809	0.1282210697
810	0.1280530384
811	0.1279326035
812	0.1277307377
813	0.1276189183
814	0.1272582505
815	0.1269762969
816	0.1268085503
817	0.1267718446
818	0.1266977478
819	0.1262710891
820	0.1260828647
821	0.1258779486
822	0.1255892302
823	0.1254417386
824	0.1253050802
825	0.1250216386
826	0.1248541596
827	0.1246226527
828	0.1244388695
829	0.1241467825
830	0.1239385656
831	0.1237238304
832	0.1234797879
833	0.1233662488
834	0.1231413889
835	0.1229941163
836	0.1228149086
837	0.1227280334
838	0.1225247977
839	0.122363532
840	0.1220606242
841	0.1217894281
842	0.1215739301
843	0.1213630902
844	0.1211057583
845	0.1208718573
846	0.1207432121
847	0.1204966269
848	0.1201904992
849	0.120020453
850	0.119789214
851	0.1196745071
852	0.1195485817
853	0.1193624387
854	0.119221359
855	0.1190514546
856	0.1189516243
857	0.1187130849
858	0.1186350883
859	0.1184512959
860	0.1181941312
861	0.1179029774
862	0.1177393849
863	0.117482137
864	0.1173745253
865	0.1171969615
866	0.1170420088
867	0.1169131663
868	0.1166812529
869	0.1165062214
870	0.1163870789
871	0.1162469619
872	0.1160626782
873	0.1158677818
874	0.1156528722
875	0.1154234452
876	0.1153128774
877	0.1151119184
878	0.11493766
879	0.1147762141
880	0.1146361079
881	0.1144050773
882	0.1141075707
883	0.1140062327
884	0.1138108028
885	0.1135699484
886	0.1134008635
887	0.1132647138
888	0.1131013921
889	0.112930716
890	0.1127517354
891	0.1124892969
892	0.1122181497
893	0.1120762613
894	0.1118291515
895	0.1116713667
896	0.1114476795
897	0.1112449941
898	0.1110763554
899	0.1108529952
900	0.1107226267
901	0.110610632
902	0.1105222669
903	0.1104235173
904	0.1103231455
905	0.1101123588
906	0.1099890467
907	0.1098091045
908	0.1096623172
909	0.1095021173
910	0.1093480831
911	0.1091624426
912	0.1090821501
913	0.1089727215
914	0.1087587586
915	0.1085785585
916	0.1084761843
917	0.1083923603
918	0.1082512938
919	0.1081607877
920	0.1080327226
921	0.1078527122
922	0.1077515927
923	0.1076723128
924	0.1075815972
925	0.1074510403
926	0.1073197101
927	0.1072090077
928	0.1070737219
929	0.1068707415
930	0.1066987747
931	0.1064647352
932	0.1064141012
933	0.1062936313
934	0.1062090986
935	0.1060814511
936	0.1059505315
937	0.1058596091
938	0.1057501716
939	0.1056725899
940	0.1055641598
941	0.1054307733
942	0.1052687867
943	0.1051442657
944	0.105017872
945	0.1048522862
946	0.1047166911
947	0.1045645688
948	0.1044999829
949	0.1043266567
950	0.1040888902
951	0.1039437094
952	0.1037111575
953	0.1034839592
954	0.1033301189
955	0.1032144035
956	0.1030037124
957	0.1028857101
958	0.1027678955
959	0.1026721353
960	0.1024578914
961	0.1023423644
962	0.102125956
963	0.1020535175
964	0.1018795633
965	0.1018420098
966	0.1016919821
967	0.1015476529
968	0.101419998
969	0.1012967889
970	0.1012267922
971	0.1010292861
972	0.1009037497
973	0.1007619213
974	0.1006729252
975	0.1004718155
976	0.1003421332
977	0.1001625866
978	0.1000693047
979	0.1000405485
980	0.09998797979
981	0.09988303923
982	0.09977581177
983	0.09970888498
984	0.09961685376
985	0.0993777291
986	0.09926085322
987	0.09908315238
988	0.09888999719
989	0.09878129869
990	0.09867107678
991	0.09849732875
992	0.09847736072
993	0.09837162819
994	0.09822533848
995	0.09811607892
996	0.0978875131
997	0.09776901191
998	0.09762967318
999	0.09751182338
