iter	Passed	Remaining
204	454	1762
205	456	1760
206	459	1758
207	461	1756
208	463	1753
209	465	1750
210	467	1748
211	469	1746
212	472	1744
213	474	1742
214	477	1741
215	479	1739
216	481	1739
217	484	1737
218	487	1737
219	490	1738
220	493	1738
221	495	1737
222	499	1738
223	501	1738
224	504	1737
225	507	1736
226	510	1737
227	512	1735
228	515	1734
229	517	1733
230	520	1733
231	523	1732
232	525	1731
233	528	1731
234	531	1730
235	534	1731
236	537	1730
237	540	1730
238	543	1730
239	546	1729
240	548	1726
241	550	1724
242	552	1721
243	554	1718
244	556	1715
245	559	1713
246	561	1712
247	563	1709
248	566	1707
249	568	1705
250	570	1703
251	573	1700
252	575	1698
253	577	1695
254	579	1693
255	581	1691
256	583	1688
257	586	1685
258	588	1683
259	590	1680
260	592	1678
261	594	1675
262	597	1673
263	599	1671
264	601	1669
265	604	1667
266	606	1665
267	608	1662
268	610	1659
269	612	1657
270	614	1654
271	617	1651
272	619	1648
273	621	1646
274	623	1644
275	626	1642
276	628	1639
277	630	1637
278	632	1634
279	634	1632
280	636	1629
281	639	1627
282	641	1624
283	643	1622
284	645	1620
285	646	1614
286	648	1611
287	651	1609
288	653	1607
289	655	1605
290	657	1602
291	659	1599
292	661	1597
293	664	1595
294	666	1593
295	668	1591
296	671	1588
297	673	1586
298	675	1583
299	677	1581
300	679	1578
301	681	1576
302	684	1574
303	686	1572
304	688	1569
305	691	1567
306	693	1564
307	695	1562
308	697	1560
309	699	1557
310	702	1555
311	704	1553
312	706	1551
313	708	1548
314	710	1546
315	711	1541
316	714	1538
317	716	1536
318	718	1533
319	720	1531
320	722	1528
321	725	1527
322	727	1525
323	729	1522
324	731	1519
325	733	1516
326	735	1514
327	738	1512
328	740	1509
329	742	1507
330	744	1505
331	747	1503
332	749	1501
333	751	1498
334	753	1496
335	756	1494
336	758	1492
337	760	1489
338	762	1487
339	764	1484
340	766	1482
341	769	1479
342	771	1477
343	773	1475
344	775	1473
345	778	1470
346	780	1468
347	782	1465
348	784	1462
349	786	1461
350	789	1459
351	791	1456
352	793	1454
353	795	1451
354	797	1449
355	799	1446
356	801	1444
357	804	1442
358	806	1440
359	809	1438
360	811	1435
361	811	1430
362	814	1428
363	816	1426
364	818	1423
365	820	1421
366	822	1418
367	824	1416
368	827	1414
369	829	1412
370	831	1410
371	833	1407
372	836	1405
373	838	1403
374	840	1400
375	842	1398
376	844	1396
377	847	1394
378	850	1392
379	852	1391
380	854	1388
381	857	1386
382	859	1385
383	862	1383
384	864	1381
385	867	1379
386	869	1377
387	871	1375
388	873	1371
389	876	1370
390	878	1368
391	881	1367
392	883	1365
393	886	1363
394	888	1361
395	891	1360
396	894	1358
397	896	1356
398	899	1354
399	901	1352
400	904	1351
401	906	1348
402	909	1347
403	911	1345
404	914	1343
405	916	1340
406	918	1338
407	921	1336
408	924	1335
409	926	1333
410	929	1331
411	931	1329
412	934	1327
413	936	1325
414	938	1323
415	941	1321
416	943	1318
417	945	1316
418	947	1314
419	950	1311
420	952	1309
421	954	1307
422	956	1305
423	958	1302
424	961	1300
425	963	1297
426	965	1295
427	967	1293
428	969	1290
429	972	1288
430	974	1286
431	976	1283
432	978	1281
433	980	1279
434	982	1276
435	985	1274
436	987	1272
437	989	1269
438	992	1267
439	994	1265
440	996	1263
441	998	1260
442	1000	1258
443	1003	1256
444	1005	1253
445	1007	1251
446	1009	1248
447	1012	1247
448	1014	1244
449	1016	1242
450	1018	1240
451	1021	1237
452	1023	1235
453	1025	1233
454	1027	1231
455	1030	1228
456	1032	1226
457	1034	1224
458	1037	1222
459	1039	1219
460	1041	1217
461	1043	1215
462	1045	1212
463	1047	1210
464	1050	1208
465	1052	1205
466	1055	1204
467	1057	1201
468	1059	1199
469	1061	1197
470	1063	1194
471	1066	1192
472	1068	1190
473	1070	1187
474	1072	1185
475	1074	1183
476	1077	1181
477	1079	1178
478	1081	1176
479	1083	1173
480	1085	1171
481	1087	1169
482	1090	1166
483	1092	1164
484	1094	1162
485	1097	1160
486	1099	1157
487	1101	1155
488	1103	1153
489	1105	1150
490	1107	1148
491	1110	1146
492	1112	1143
493	1114	1141
494	1117	1139
495	1119	1137
496	1121	1135
497	1123	1132
498	1125	1130
499	1128	1128
500	1130	1125
501	1132	1123
502	1134	1121
503	1137	1119
504	1139	1116
505	1141	1114
506	1143	1112
507	1145	1109
508	1147	1107
509	1150	1105
510	1152	1102
511	1154	1100
512	1157	1098
513	1159	1096
514	1161	1093
515	1163	1091
516	1165	1089
517	1168	1086
518	1170	1084
519	1172	1082
520	1174	1079
521	1176	1077
522	1179	1075
523	1181	1073
524	1183	1070
525	1185	1068
526	1187	1065
527	1189	1063
528	1191	1061
529	1194	1058
530	1196	1056
531	1198	1054
532	1201	1052
533	1203	1050
534	1205	1047
535	1207	1045
536	1209	1042
537	1211	1040
538	1213	1038
539	1216	1036
540	1218	1033
541	1220	1031
542	1222	1029
543	1224	1026
544	1227	1024
545	1229	1021
546	1231	1019
547	1233	1017
548	1235	1014
549	1237	1012
550	1240	1010
551	1242	1008
552	1244	1006
553	1247	1003
554	1249	1001
555	1251	999
556	1253	996
557	1255	994
558	1257	992
559	1260	990
560	1262	987
561	1264	985
562	1267	983
563	1269	981
564	1271	978
565	1273	976
566	1275	974
567	1277	971
568	1280	969
569	1282	967
570	1284	965
571	1286	962
572	1289	960
573	1291	958
574	1293	955
575	1295	953
576	1297	951
577	1299	949
578	1302	946
579	1304	944
580	1306	942
581	1308	940
582	1311	937
583	1313	935
584	1315	933
585	1317	930
586	1319	928
587	1322	926
588	1324	924
589	1326	922
590	1328	919
591	1331	917
592	1333	915
593	1335	912
594	1337	910
595	1340	908
596	1342	906
597	1344	903
598	1346	901
599	1348	899
600	1350	896
601	1353	894
602	1355	892
603	1357	889
604	1359	887
605	1362	885
606	1364	883
607	1367	881
608	1369	879
609	1371	876
610	1373	874
611	1375	872
612	1378	870
613	1380	867
614	1382	865
615	1384	863
616	1386	860
617	1388	858
618	1390	856
619	1393	853
620	1395	851
621	1397	849
622	1399	847
623	1402	845
624	1404	842
625	1406	840
626	1409	838
627	1411	836
628	1413	833
629	1415	831
630	1417	829
631	1420	826
632	1422	824
633	1424	822
634	1426	820
635	1428	817
636	1430	815
637	1432	813
638	1434	810
639	1437	808
640	1439	806
641	1441	803
642	1444	801
643	1446	799
644	1448	797
645	1450	795
646	1452	792
647	1455	790
648	1457	788
649	1459	785
650	1461	783
651	1464	781
652	1466	779
653	1468	777
654	1470	774
655	1472	772
656	1474	770
657	1477	767
658	1479	765
659	1481	763
660	1483	760
661	1485	758
662	1488	756
663	1490	754
664	1492	751
665	1494	749
666	1496	747
667	1498	744
668	1500	742
669	1503	740
670	1505	738
671	1507	736
672	1510	733
673	1512	731
674	1514	729
675	1516	726
676	1518	724
677	1520	722
678	1523	720
679	1525	717
680	1528	715
681	1530	713
682	1532	711
683	1534	708
684	1536	706
685	1538	704
686	1540	701
687	1542	699
688	1545	697
689	1547	695
690	1549	693
691	1552	690
692	1554	688
693	1556	686
694	1558	684
695	1560	681
696	1562	679
697	1565	677
698	1567	675
699	1570	672
700	1572	670
701	1574	668
702	1576	666
703	1578	663
704	1581	661
705	1583	659
706	1585	656
707	1587	654
708	1589	652
709	1591	650
710	1594	647
711	1596	645
712	1598	643
713	1600	641
714	1602	638
715	1604	636
716	1607	634
717	1609	632
718	1611	629
719	1614	627
720	1616	625
721	1618	623
722	1620	620
723	1622	618
724	1625	616
725	1627	614
726	1629	612
727	1631	609
728	1633	607
729	1636	605
730	1638	602
731	1640	600
732	1642	598
733	1644	596
734	1647	593
735	1649	591
736	1651	589
737	1654	587
738	1656	584
739	1658	582
740	1660	580
741	1662	578
742	1664	575
743	1667	573
744	1669	571
745	1672	569
746	1674	567
747	1676	564
748	1678	562
749	1680	560
750	1683	558
751	1685	555
752	1687	553
753	1690	551
754	1692	549
755	1694	547
756	1697	544
757	1699	542
758	1701	540
759	1703	538
760	1705	535
761	1707	533
762	1710	531
763	1712	529
764	1715	526
765	1717	524
766	1719	522
767	1721	520
768	1723	517
769	1726	515
770	1728	513
771	1730	511
772	1732	508
773	1734	506
774	1737	504
775	1739	502
776	1741	499
777	1743	497
778	1745	495
779	1748	493
780	1750	490
781	1752	488
782	1755	486
783	1757	484
784	1759	481
785	1761	479
786	1763	477
787	1766	475
788	1768	472
789	1770	470
790	1772	468
791	1775	466
792	1777	463
793	1779	461
794	1781	459
795	1783	457
796	1785	454
797	1787	452
798	1789	450
799	1792	448
800	1794	445
801	1796	443
802	1799	441
803	1801	439
804	1803	436
805	1805	434
806	1807	432
807	1810	430
808	1812	427
809	1814	425
810	1816	423
811	1819	421
812	1821	418
813	1823	416
814	1825	414
815	1828	412
816	1830	409
817	1832	407
818	1834	405
819	1837	403
820	1839	401
821	1841	398
822	1843	396
823	1845	394
824	1848	392
825	1850	389
826	1852	387
827	1854	385
828	1857	383
829	1859	380
830	1861	378
831	1863	376
832	1866	374
833	1868	371
834	1870	369
835	1872	367
836	1875	365
837	1877	362
838	1879	360
839	1881	358
840	1884	356
841	1886	354
842	1888	351
843	1891	349
844	1893	347
845	1895	345
846	1898	342
847	1900	340
848	1902	338
849	1904	336
850	1907	333
851	1909	331
852	1911	329
853	1913	327
854	1915	324
855	1918	322
856	1920	320
857	1922	318
858	1925	316
859	1927	313
860	1929	311
861	1931	309
862	1933	307
863	1936	304
864	1938	302
865	1940	300
866	1943	298
867	1945	295
868	1947	293
869	1950	291
870	1952	289
871	1954	286
872	1956	284
873	1959	282
874	1961	280
875	1963	277
876	1965	275
877	1968	273
878	1970	271
879	1972	268
880	1974	266
881	1977	264
882	1979	262
883	1981	260
884	1983	257
885	1986	255
886	1988	253
887	1990	251
888	1992	248
889	1995	246
890	1997	244
891	1999	242
892	2001	239
893	2004	237
894	2006	235
895	2008	233
896	2011	230
897	2013	228
898	2015	226
899	2018	224
900	2020	222
901	2022	219
902	2024	217
903	2027	215
904	2029	213
905	2031	210
906	2034	208
907	2036	206
908	2038	204
909	2041	201
910	2043	199
911	2045	197
912	2048	195
913	2050	192
914	2052	190
915	2055	188
916	2057	186
917	2059	183
918	2062	181
919	2064	179
920	2066	177
921	2068	175
922	2071	172
923	2073	170
924	2075	168
925	2077	166
926	2079	163
927	2082	161
928	2084	159
929	2087	157
930	2089	154
931	2091	152
932	2093	150
933	2096	148
934	2098	145
935	2100	143
936	2102	141
937	2105	139
938	2107	136
939	2109	134
940	2111	132
941	2114	130
942	2116	127
943	2119	125
944	2121	123
945	2124	121
946	2126	119
947	2129	116
948	2131	114
949	2133	112
950	2136	110
951	2138	107
952	2141	105
953	2144	103
954	2146	101
955	2148	98
956	2151	96
957	2153	94
958	2156	92
959	2158	89
960	2160	87
961	2163	85
962	2165	83
963	2168	80
964	2170	78
965	2172	76
966	2175	74
967	2177	71
968	2180	69
969	2182	67
970	2184	65
971	2187	63
972	2189	60
973	2192	58
974	2194	56
975	2197	54
976	2199	51
977	2202	49
978	2204	47
979	2207	45
980	2209	42
981	2211	40
982	2214	38
983	2216	36
984	2219	33
985	2221	31
986	2223	29
987	2226	27
988	2228	24
989	2231	22
990	2233	20
991	2236	18
992	2238	15
993	2241	13
994	2243	11
995	2246	9
996	2248	6
997	2251	4
998	2253	2
999	2255	0
